endpoint	dnpx_source	n_tests	n_computed	n_q_lt_05	n_q_lt_10	min_q	max_abs_beta
d1_dTcore	hd1	2943	2938	0	0	0.5222224591522496	2.1425113033768732
d7_dTcore	hd7	2943	2938	0	0	0.9995000425502709	6.75323363795565
acc_dTcore	accpre	2943	2938	0	0	0.5122203099092042	2.7953349359774067
d1_dTskin	hd1	2943	2938	0	0	0.5610244116310908	5.382860191573141
d7_dTskin	hd7	2943	2938	0	0	0.21986810122051326	16.471286762775442
acc_dTskin	accpre	2943	2938	0	0	0.9606253961124837	5.767044451869738
d1_dTbody	hd1	2943	2938	0	0	0.4987216337087528	2.2930769351198856
d7_dTbody	hd7	2943	2938	0	0	0.9975755299238606	5.459943245000838
acc_dTbody	accpre	2943	2938	0	0	0.7922117272006513	1.1055241867972159
d1_dLSR	hd1	2943	2938	0	0	0.3917043834540053	7.421850299023833
d7_dLSR	hd7	2943	2938	0	0	0.7230920391223491	10.854365705042337
acc_dLSR	accpre	2943	2938	0	0	0.21147272090590627	0.2351450043003024
d1_dLDF	hd1	2943	2938	0	0	0.999569988157291	306.24297075650213
d7_dLDF	hd7	2943	2938	0	0	0.9995048272225293	718.2541351845957
acc_dLDF	accpre	2943	2938	0	0	0.9991021887593188	486.45074072028706
d1_dCVC	hd1	2943	2938	0	0	0.7475269250852788	5.018513081892986
d7_dCVC	hd7	2943	2938	0	0	0.7248301405250777	9.604878958595863
acc_dCVC	accpre	2943	2938	0	0	0.9997307517423498	5.559613947854927
d1_dHR	hd1	2943	2938	0	0	0.6152542683664423	108.63870654554051
d7_dHR	hd7	2943	2938	1	1	0.02726485230307185	227.07418079896672
acc_dHR	accpre	2943	2938	0	0	0.38053527511069096	58.293144885323684
d1_dSBP	hd1	2943	2938	0	0	0.6549569795166469	152.97906304854453
d7_dSBP	hd7	2943	2938	0	0	0.9563650649439772	311.9510253407693
acc_dSBP	accpre	2943	2938	0	0	0.804538833159516	74.06450783073929
d1_dDBP	hd1	2943	2938	0	1	0.0946595281145135	82.490436509085
d7_dDBP	hd7	2943	2938	0	0	0.9921554127498687	221.0429906397282
acc_dDBP	accpre	2943	2938	1	1	0.04864435321527916	82.23845916423322
d1_dMAP	hd1	2943	2938	0	0	0.14713789126757781	83.4805660644107
d7_dMAP	hd7	2943	2938	0	0	0.20599967642518147	183.00357448522368
acc_dMAP	accpre	2943	2938	0	0	0.9882969017919999	49.49722148716591
d1_dSSNA	hd1	2943	2938	0	0	0.9995538888501633	8244.373916126344
d7_dSSNA	hd7	2943	2938	0	0	0.6271913349147908	22466.4148372394
acc_dSSNA	accpre	2943	0	0	0		
