Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
A1BG,0.008283297430179803,0.049788849896750885,0.011748019460233886,0.053253571926804986
ABO,0.036075683137263115,-0.44979777098052637,0.5091713781434024,0.023297924025612485
ACE,0.016276947531926406,0.013743259088443588,0.12385242720673419,0.12131873876325164
ACHE,-0.10974382823012192,0.02744034533485413,-0.10049830581042465,0.036685867754551564
ACP1,0.09139940881426707,-0.13841432157044387,0.04920644730830457,-0.1806072830764062
ACRV1,-0.2235369306241624,0.08658436145229556,-0.12385456906886029,0.18626672300759767
ACYP1,0.29364795879247446,-0.4015528491644286,0.5149980031294148,-0.18020280482748827
ADAM12,0.10998443961232686,0.16753337425723533,-0.0651936439964016,-0.007644709351492961
ADAMTS1,-0.2611054914505757,0.25288429769905996,0.07160309538902476,0.5855928845386604
ADAMTS4,0.15451676434492706,0.02702834306744928,0.022556529723268284,-0.10493189155420939
ADD1,0.3609533165246466,-0.34366435186529026,0.3197509883928007,-0.3848666799971361
ADGRD1,-0.07005782267309589,0.16222095971150524,-0.08575796556478738,0.14652081681981385
ADH1B,-0.2055011588068674,0.1928451817029793,-0.21477970516058942,0.1835666353492573
ADIPOQ,-0.061969710594142274,0.28150823769229383,-0.07296817098576372,0.2705097773006723
AFAP1,0.24172217686074113,-0.862707542458536,1.0569865108722047,-0.04744320844707207
AFM,-0.08561119144554823,0.15147741182887184,-0.09715663130337118,0.13993197197104892
AGT,-0.012120354818847014,0.0706497366057924,0.01985180298173727,0.10262189440637637
AHSG,0.037034465670790315,0.07147008438504643,0.07930196208392166,0.11373758079817772
AKAP12,-0.06743048540101453,0.0998561343957953,-0.07901043148686739,0.08827618830994237
AKR7L,0.32846629112523823,0.008935738088730728,-0.010814273917844442,-0.3303448269543519
ALPI,0.12074412144090357,0.0382201568412697,-0.6348732176016336,-0.7173971822012677
AMOT,0.1255902125187529,-0.008923319925892657,0.13757040528421222,0.003056872839566621
AMY1A_AMY1B_AMY1C,-0.06402399428383476,-0.026493068468991604,0.05309414977785603,0.09062507559269906
