Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
ABHD14B,-0.07110105915060266,-0.47349840883076105,0.5461297201324397,0.1437323704522811
ACVRL1,0.01772134667151157,0.10677565453979754,0.11245305404284617,0.20150736191113183
ADAM22,-0.03848032571851231,0.15465786189494074,-0.11804301775328689,0.07509516986016623
ADAM8,0.0029200592248295456,0.05648845763393614,0.01947449439991461,0.07304289280902103
ADGRB3,0.0034978947639120904,0.06320656448450229,-0.019672147982446812,0.04003652173814321
AFP,-0.05219201559105883,-0.017204641683761738,0.16052431889324806,0.19551169280054537
AGR2,-0.06211541890248916,0.11227194753055292,0.00011680961559727097,0.17450417604863938
AHSP,0.14591964539350616,-1.1350277095154062,-0.4146846588029333,-1.6956320137118457
AKT1S1,0.23258472837284141,-0.5753532810423885,0.12190317128138688,-0.6860348381338432
ALDH1A1,0.09216293750190183,-0.4202941711173601,0.016046013781309484,-0.49641109483795265
AMFR,-0.27191473433478647,0.908138005067074,0.022921556602850536,1.202974296004711
ANXA10,0.10487353694485993,-0.34380333272319563,-0.10137542979185071,-0.5500522994599061
ANXA3,0.17802233163818373,-0.008402095516972392,0.6627994579435721,0.4763750307884159
ANXA5,-0.15673690725420555,0.03825887945230211,-0.10622440570437523,0.08877138100213226
APOH,-0.056649757268879976,-0.07650009334032688,0.06702640442279702,0.047176068351350124
APP,-0.03464984342427912,0.856951182838233,-0.718611898391489,0.1729891278710233
APRT,0.33439443533259,-0.5723913917564784,1.2909214518904326,0.3841356248013642
ARID4B,0.3287064689634964,0.12510741328356623,0.16092435973526234,-0.04267469594466797
ARSA,-0.12710041419822282,0.1260131059876611,-0.15424898708326912,0.0988645331026149
ASAH2,-0.1722162521247005,-0.13429105235042343,-0.05418115178639848,-0.01625595201212164
ASGR1,-0.08574431614568574,-0.009946357563732295,0.2464719129413105,0.3222698715232639
ATF2,0.18075647055137442,-0.08924117868276653,0.3272572664720094,0.05725961723786832
ATP5PO,-0.1335516546623846,-0.15090025748935984,-0.14059215658370858,-0.15794075941068392
ATP6V1F,0.19981287097776704,-0.054720344043031534,0.062463668077229514,-0.19206954694356917
ATXN10,-0.2839622361890485,0.2963815877409828,-0.08683069871907331,0.49351312521095797
B4GAT1,-0.03656317394609013,-0.09796867127560704,0.13692234833873693,0.07551685100921986
BAG3,-0.08576258221182527,-0.1621934628419026,0.03761068158174657,-0.03882019904833046
BAX,0.4606320137526794,-0.21447871376844216,0.3289724566869435,-0.3461382708341781
BCAM,0.04930673292556421,-0.035469379880823396,0.1289799550982254,0.04420384229183796
BCAN,-0.25495066194930055,-0.07851934543751134,-0.40424938834280616,-0.22781807183101696
BIN2,0.3698801759260997,-0.3988926669479333,1.5033797153565338,0.7346068724825007
BLVRB,-0.004332051749925374,-0.5108499745413421,-0.22002615170261738,-0.7265440744940341
BMP4,-0.011582323845911749,-0.04927394995303824,-0.03967671488635737,-0.07736834099348386
BRK1,0.5865338897888449,0.14379181172631325,0.04164545338759134,-0.40109662467494
BST1,-0.01450727003995527,-0.09740333131225057,0.05854438881714953,-0.024351672455145783
BST2,0.04574752819581273,-0.04110170051312916,0.1313407329787121,0.04449150426977004
C19orf12,-0.09559351235551189,-0.3656623906877166,0.06410393032113301,-0.20596494801107157
C2CD2L,0.45111021235050025,0.33108806724325085,0.31275363630915226,0.1927314912019026
CA2,0.16516857359242457,-1.255363893886366,0.05241842755095175,-1.368114039927839
CA6,0.4987810847551139,0.46959911331171655,0.10569609525806534,0.07651412381466784
CALB2,0.041839239074263776,-0.03833333901414727,0.27765275246008486,0.19748017437167384
CALCA,-0.12103295384282628,0.08006723925574215,0.6170692263003583,0.818169419398927
CARHSP1,0.23275930921502927,-0.773992499793783,0.04723019054779959,-0.9595216184610127
CASP1,0.20481991409522196,-0.7919522732808085,0.5350847776387192,-0.46168740973731137
CASP10,0.14668884111208322,0.14017738311223832,0.45676522332554326,0.4502537653256982
CC2D1A,0.46400818828933493,-0.49550600212987533,1.414317934355805,0.4548037439365949
CCL19,-0.030530993267885033,-0.1635324022802588,0.21868393972484387,0.0856825307124701
CCL2,0.04401442154386109,0.08020402798920379,-0.23066299590666622,-0.1944733894613236
CCN5,0.07395013488376884,-0.03681687759172364,0.10385806228761175,-0.006908950187880863
CCS,0.08817487272309447,-0.5281254201973601,0.37993325595719085,-0.23636703696326375
CD109,-0.06869200273567803,-0.08030310799271168,0.05943340419705152,0.047822298940018
CD164,-0.22270581340586948,-0.023467017475839548,0.12667531795821235,0.3259141138882422
CD177,0.010347386973005716,-0.012064861564215485,0.06913587763712054,0.04672362909989924
CD274,-0.03402297640289068,0.010818088753781778,0.20623799305429036,0.25107905821096305
CD300C,0.011989738976842397,-0.04004037668618576,0.07813296018460117,0.02610284452157317
CD300LG,-0.03522975582814282,-0.10274151556349342,0.07305582088945252,0.005544061154101804
CD34,-0.04559296831202054,-0.11521254802250008,0.011668673231429751,-0.05795090647904998
CD63,0.027807761640245853,0.26953202466032755,0.1751486712772621,0.41687293429734373
CD74,-0.17116076448340256,-0.17996096144842905,0.1426122384742594,0.13381204150923287
CD8A,0.07743871629910717,0.002765666269637062,0.3354589657536117,0.26078591572414156
CD99,0.018823619782820766,-0.07117934726847945,0.15212989935568946,0.062126932304389273
CD99L2,-0.01951030354862483,-0.13351539865789405,0.13291497838055386,0.018909883271284598
CDCP1,-0.02861081827901634,0.06360340526469384,-0.0301307140327499,0.062083509510960144
CDH15,0.018450709916673098,-0.02927466059480937,-0.015881882416150857,-0.06360725292763339
CDH3,0.0100263755642381,0.023784026060306083,-0.035574685301539996,-0.021817034805471845
CDHR1,-0.2115769381513034,-0.10939512648525963,-0.15197434574075006,-0.04979253407470608
CERT,0.3932621480054276,0.008122986081645314,0.3397808598145056,-0.045358302109276646
CETN2,0.42139426567101257,-0.044765765570936686,0.8270364691030604,0.360876437861111
CGA,-0.12473891553015369,-0.2434837663056191,0.33886123623113107,0.22011638545566575
CHGB,-0.19104374867760116,-0.19938779686664176,-0.29522642227948803,-0.3035704704685284
CHMP1A,0.22990256891025304,-0.3970027738848374,1.1043373246815786,0.4774319818864882
CLEC10A,0.0027596913843809423,0.0573426952336578,0.006686808967520432,0.06126981281679721
CLEC11A,-0.014144539499588674,-0.20069719695989735,0.21791990094627267,0.031367243485964036
CLEC14A,0.048855718389668394,-0.12391552171724207,0.12445635948214165,-0.04831488062476875
CLEC1B,0.2871085870874239,0.3175900979454698,0.91754387157247,0.9480253824305158
CLPP,0.337061410631272,0.005690893931663285,0.6982311399164179,0.366860623216809
CLPS,0.056996218057659066,-0.26330203935132945,0.16902091602670102,-0.15127734138228763
CLSPN,0.11226847034919485,-0.1296800315413036,0.06196378064792996,-0.17998472124256873
CLSTN1,-0.21010765439443857,0.052470770748151235,0.03875419052661013,0.30133261566919983
CNTN3,-0.026645844833727336,-0.08111294960377438,0.07060047035080275,0.016133365580755753
CNTN4,0.002144992953979558,-0.06959381484951303,0.1156858783648439,0.0439470705613512
CNTN5,0.003355723356126547,-0.00662724394529471,0.07799073346258266,0.06800776616116139
COPE,-0.064847314254697,0.03980675302629805,-0.12493168418442802,-0.020277616903433056
CPA2,0.3670735175979861,0.13092816465337118,-0.0034198752507991204,-0.23956522819541395
CPM,-0.13045118803109013,-0.1628166686910261,0.10849040767761618,0.0761249270176803
CPPED1,0.1395755249555611,-0.3791889776528491,0.42699835657462787,-0.09176614603378216
CRADD,0.295644285431643,-0.5986468413049463,1.2050738983009837,0.3107827715643946
CRIP2,-0.06125092573183787,-0.03622734758339993,-0.15278906783190008,-0.12776548968346235
CRTAM,-0.03971625644400296,0.08979922941286764,-0.03836137777867414,0.09115410807819621
CSF2RA,0.028620768654981844,0.09386430877209902,0.06444706061974169,0.12969060073685876
CST5,-0.21100123420074043,-0.12971142087010895,-0.20968216282631183,-0.12839234949568043
CTRB1,0.034746620696672,-0.09693116668184089,-0.0427753927786417,-0.17445318015715458
CTSS,0.06286347106815085,-0.025164211653570606,0.22139793531209115,0.1333702525903696
CX3CL1,-0.15795009086891468,0.16774232483225354,-0.10737314107584241,0.21831927462532574
CXCL11,-0.20673857697567435,-0.08721465332439463,0.14186365143012333,0.2613875750814033
CXCL13,0.2985323301341943,0.36706714738889873,0.37373610165513754,0.4422709189098417
CXCL8,-0.030607688546288852,0.3698311905116783,-0.3247791151203637,0.07565976393760328
DARS1,0.20096842304038165,-0.35793777974008345,1.0951302312093143,0.5362240284288492
DBI,0.22742819451493218,-0.2634801908871015,0.8088011253933115,0.31789273999127804
